opponent,games,hands_total,pokeragent_chips,opponent_chips,pokeragent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
RandomPlayer,100,10000,181760,18040,93,7,817.6,1000,-1000,460.0,9.6
RaisedPlayer,100,10000,111460,88370,54,46,114.6,1000,-1000,933.6,20.4
TightPassive,100,10000,146810,53100,79,21,468.1,1000,-1000,653.9,20.1
LooseAggr,100,10000,147290,52520,75,25,472.9,1000,-1000,802.0,15.0
Raise50,100,10000,186380,13440,96,4,863.8,1000,-1000,372.2,18.8
Raise90,100,10000,126610,73170,64,36,266.1,1000,-1000,910.8,12.6
PreflopAggroSticky,100,10000,140190,59620,70,29,401.9,1000,-1000,744.9,20.0
CallingStation,100,10000,145000,54860,75,25,450.0,1000,-1000,734.8,12.2
PressureFolder,100,10000,194230,5600,100,0,942.3,1000,530,110.8,8.3
ValueRegular,100,10000,103890,96000,50,50,38.9,1000,-1000,797.9,7.0
NittyValue,100,10000,119830,80060,65,35,198.3,1000,-1000,633.0,11.0
BalancedPressure,100,10000,116060,83810,59,41,160.6,1000,-1000,859.2,16.5
ShowdownRegular,100,10000,111260,88630,56,44,112.6,1000,-1000,848.0,16.4
