split,variant,opponent,opponent_kind,games,hands_total,agent_chips,opponent_chips,agent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
validation,Search,validation_fold_0,randomized,12,1200,15440,8560,9,3,286.667,1000,-1000,550.414,135.134
validation,Search,validation_fold_1,randomized,12,1200,18560,5420,11,1,546.667,990,-250,344.125,133.818
validation,Search,validation_static_Value,static,12,1200,8930,15060,5,7,-255.833,650,-1000,616.853,135.473
validation,Search,validation_static_Tight,static,12,1200,14760,9230,7,5,230.0,1000,-1000,648.023,136.523
validation,Search,validation_static_Pressure,static,12,1200,14730,9260,7,5,227.5,1000,-1000,731.267,136.654
validation,Search,validation_static_Showdown,static,12,1200,11060,12920,7,5,-78.333,1000,-1000,760.13,135.243
validation,Search,validation_checkpoint_120228k,checkpoint,12,1200,14700,9290,9,3,225.0,1000,-1000,684.891,136.704
validation,Search,validation_checkpoint_140004k,checkpoint,12,1200,9420,14540,4,8,-215.0,1000,-1000,725.919,134.873
validation,Search,validation_checkpoint_143004k,checkpoint,12,1200,14760,9220,7,5,230.0,1000,-1000,712.238,138.012
validation,Search,validation_checkpoint_195510k,checkpoint,12,1200,10790,13210,5,7,-100.833,1000,-1000,742.714,136.429
validation,Full,validation_value_0,randomized,12,1200,16200,7790,8,4,350.0,1000,-1000,730.263,137.36
validation,Full,validation_value_1,randomized,12,1200,17730,6260,9,3,477.5,1000,-1000,630.9,136.255
validation,Full,validation_tight_0,randomized,12,1200,13910,10090,8,4,159.167,1000,-1000,537.331,137.674
validation,Full,validation_tight_1,randomized,12,1200,14170,9830,9,3,180.833,1000,-300,317.476,138.209
validation,Full,validation_pressure_0,randomized,12,1200,14300,9670,7,5,191.667,1000,-1000,865.08,139.026
validation,Full,validation_pressure_1,randomized,12,1200,14180,9800,6,6,181.667,1000,-1000,845.26,136.88
validation,Full,validation_caller_0,randomized,12,1200,17610,6380,9,3,467.5,1000,-1000,638.15,140.212
